log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
0.0104152,0.3,0.1,0.0,25.0,2309.56
0.022560900000000002,0.3,0.1,0.0,25.0,2298.77
0.0488704,0.3,0.1,0.0,25.0,2288.02
0.101641,0.3,0.1,0.0,25.0,1981.19
0.220169,0.3,0.1,0.0,25.0,1715.09
0.45790699999999995,0.3,0.1,0.0,25.0,1204.6
1.03308,0.3,0.1,0.0,25.0,735.497
2.2378099999999996,0.3,0.1,0.0,25.0,516.4540000000001
4.84744,0.3,0.1,0.0,25.0,294.153
10.0817,0.3,0.1,0.0,25.0,192.676
21.8385,0.3,0.1,0.0,25.0,117.67200000000001
45.4197,0.3,0.1,0.0,25.0,77.0772
102.471,0.3,0.1,0.0,25.0,47.0612
90.6979,0.3,0.1,0.0,25.0,54.148999999999994
0.0108477,0.2,0.1,0.0,25.0,756.09
0.0216615,0.2,0.1,0.0,25.0,807.34
0.0469222,0.2,0.1,0.0,25.0,749.409
0.101641,0.2,0.1,0.0,25.0,695.635
0.22931100000000001,0.2,0.1,0.0,25.0,602.052
0.47691999999999996,0.2,0.1,0.0,25.0,486.18
1.03308,0.2,0.1,0.0,25.0,318.379
2.1486,0.2,0.1,0.0,25.0,239.77599999999998
4.65419,0.2,0.1,0.0,25.0,146.437
9.679789999999999,0.2,0.1,0.0,25.0,95.9188
21.8385,0.2,0.1,0.0,25.0,67.336
45.4197,0.2,0.1,0.0,25.0,41.1338
98.3859,0.2,0.1,0.0,25.0,30.9708
87.0822,0.2,0.1,0.0,25.0,30.9937
0.0104152,0.1,0.1,0.0,25.0,114.947
0.022560900000000002,0.1,0.1,0.0,25.0,114.41
0.0488704,0.1,0.1,0.0,25.0,113.875
0.101641,0.1,0.1,0.0,25.0,113.37100000000001
0.220169,0.1,0.1,0.0,25.0,98.1436
0.45790699999999995,0.1,0.1,0.0,25.0,91.1238
0.9918969999999999,0.1,0.1,0.0,25.0,78.8844
2.2378099999999996,0.1,0.1,0.0,25.0,59.3796
4.65419,0.1,0.1,0.0,25.0,44.7196
10.0817,0.1,0.1,0.0,25.0,31.4013
21.8385,0.1,0.1,0.0,25.0,23.643
43.608999999999995,0.1,0.1,0.0,25.0,17.8102
80.2775,0.1,0.1,0.0,25.0,14.3931
98.3859,0.1,0.1,0.0,25.0,13.4065
0.0104152,0.05,0.1,0.0,25.0,20.0874
0.020798,0.05,0.1,0.0,25.0,17.3979
0.0508995,0.05,0.1,0.0,25.0,19.8951
0.101641,0.05,0.1,0.0,25.0,18.4767
0.22931100000000001,0.05,0.1,0.0,25.0,19.7145
0.47691999999999996,0.05,0.1,0.0,25.0,18.3044
1.03308,0.05,0.1,0.0,25.0,15.8458
2.1486,0.05,0.1,0.0,25.0,15.7756
4.65419,0.05,0.1,0.0,25.0,14.6437
10.0817,0.05,0.1,0.0,25.0,11.0256
20.9679,0.05,0.1,0.0,25.0,9.54705
43.608999999999995,0.05,0.1,0.0,25.0,7.70962
94.4637,0.05,0.1,0.0,25.0,6.22428
106.726,0.05,0.1,0.0,25.0,6.21968
0.01,0.3,1.0,0.0,25.0,119.542
0.0218417,0.3,1.0,0.0,25.0,129.012
0.04770580000000001,0.3,1.0,0.0,25.0,129.639
0.1,0.3,1.0,0.0,25.0,130.235
0.20961799999999997,0.3,1.0,0.0,25.0,130.834
0.497083,0.3,1.0,0.0,25.0,131.537
1.04197,0.3,1.0,0.0,25.0,123.036
2.27585,0.3,1.0,0.0,25.0,92.9194
4.770580000000001,0.3,1.0,0.0,25.0,75.3488
10.0,0.3,1.0,0.0,25.0,56.8904
21.8417,0.3,1.0,0.0,25.0,42.9647
47.7058,0.3,1.0,0.0,25.0,32.4478
74.9894,0.3,1.0,0.0,25.0,26.2651
100.0,0.3,1.0,0.0,25.0,24.4989
0.0104197,0.2,1.0,0.0,25.0,40.9745
0.0227585,0.2,1.0,0.0,25.0,41.1735
0.0457841,0.2,1.0,0.0,25.0,41.3524
0.1,0.2,1.0,0.0,25.0,41.5532
0.20961799999999997,0.2,1.0,0.0,25.0,38.8678
0.477058,0.2,1.0,0.0,25.0,39.0666
1.0,0.2,1.0,0.0,25.0,39.2463
2.09618,0.2,1.0,0.0,25.0,39.4268
4.57841,0.2,1.0,0.0,25.0,31.9796
9.59716,0.2,1.0,0.0,25.0,27.8516
21.8417,0.2,1.0,0.0,25.0,24.2689
47.7058,0.2,1.0,0.0,25.0,17.0653
71.9686,0.2,1.0,0.0,25.0,15.93
100.0,0.2,1.0,0.0,25.0,13.8384
0.01,0.1,1.0,0.0,25.0,10.5501
0.0218417,0.1,1.0,0.0,25.0,10.6013
0.0439397,0.1,1.0,0.0,25.0,10.6474
0.0959716,0.1,1.0,0.0,25.0,10.6991
0.20961799999999997,0.1,1.0,0.0,25.0,10.751
0.457841,0.1,1.0,0.0,25.0,11.6028
0.959716,0.1,1.0,0.0,25.0,11.6562
2.09618,0.1,1.0,0.0,25.0,10.9057
4.57841,0.1,1.0,0.0,25.0,10.2035
9.59716,0.1,1.0,0.0,25.0,9.544080000000001
20.9618,0.1,1.0,0.0,25.0,8.31424
47.7058,0.1,1.0,0.0,25.0,6.7455
66.28699999999999,0.1,1.0,0.0,25.0,6.2935
100.0,0.1,1.0,0.0,25.0,6.30957
0.0104197,0.05,1.0,0.0,25.0,4.17125
0.019306999999999998,0.05,1.0,0.0,25.0,4.1872300000000005
0.0439397,0.05,1.0,0.0,25.0,4.20864
0.0959716,0.05,1.0,0.0,25.0,4.229080000000001
0.218417,0.05,1.0,0.0,25.0,4.2507
0.457841,0.05,1.0,0.0,25.0,4.2702599999999995
1.0,0.05,1.0,0.0,25.0,4.291
2.09618,0.05,1.0,0.0,25.0,4.31074
4.3939699999999995,0.05,1.0,0.0,25.0,4.33057
9.59716,0.05,1.0,0.0,25.0,4.051740000000001
21.8417,0.05,1.0,0.0,25.0,3.5305400000000002
45.7841,0.05,1.0,0.0,25.0,3.5467800000000005
78.1371,0.05,1.0,0.0,25.0,3.31334
100.0,0.05,1.0,0.0,25.0,3.08974
0.010593700000000001,0.3,4.0,0.0,25.0,44.7549
0.028222300000000002,0.3,4.0,0.0,25.0,45.0342
0.0588505,0.3,4.0,0.0,25.0,45.2448
0.108607,0.3,4.0,0.0,25.0,48.8657
0.235833,0.3,4.0,0.0,25.0,45.6453
0.49177,0.3,4.0,0.0,25.0,45.8588
1.11235,0.3,4.0,0.0,25.0,42.8477
2.4154,0.3,4.0,0.0,25.0,40.0239
4.83522,0.3,4.0,0.0,25.0,40.2006
10.4926,0.3,4.0,0.0,25.0,32.4438
22.7767,0.3,4.0,0.0,25.0,28.1693
37.1399,0.3,4.0,0.0,25.0,22.6927
51.4692,0.3,4.0,0.0,25.0,21.1368
111.69,0.3,4.0,0.0,25.0,17.0584
0.0105526,0.2,4.0,0.0,25.0,18.6156
0.0172183,0.2,4.0,0.0,25.0,17.3573
0.0259001,0.2,4.0,0.0,25.0,17.4023
0.0440642,0.2,4.0,0.0,25.0,20.2099
0.10385699999999999,0.2,4.0,0.0,25.0,20.3202
0.234841,0.2,4.0,0.0,25.0,17.6476
0.489703,0.2,4.0,0.0,25.0,17.7301
1.06371,0.2,4.0,0.0,25.0,17.8177
2.21809,0.2,4.0,0.0,25.0,17.901
4.81802,0.2,4.0,0.0,25.0,17.9894
10.0403,0.2,4.0,0.0,25.0,15.6153
22.703000000000003,0.2,4.0,0.0,25.0,13.5615
47.2954,0.2,4.0,0.0,25.0,10.9419
102.666,0.2,4.0,0.0,25.0,9.50031
0.010498,0.1,4.0,0.0,25.0,5.77998
0.016449400000000003,0.1,4.0,0.0,25.0,5.79648
0.0303469,0.1,4.0,0.0,25.0,5.81907
0.107556,0.1,4.0,0.0,25.0,5.45251
0.224281,0.1,4.0,0.0,25.0,5.47801
0.487171,0.1,4.0,0.0,25.0,5.50505
1.05855,0.1,4.0,0.0,25.0,5.95179
2.2073400000000003,0.1,4.0,0.0,25.0,5.97962
4.7946599999999995,0.1,4.0,0.0,25.0,6.00915
10.4079,0.1,4.0,0.0,25.0,5.21745
21.6961,0.1,4.0,0.0,25.0,4.87234
35.4123,0.1,4.0,0.0,25.0,4.887519999999999
49.091,0.1,4.0,0.0,25.0,4.89766
102.301,0.1,4.0,0.0,25.0,4.2513
0.010460700000000002,0.05,4.0,0.0,25.0,2.58649
0.0170739,0.05,4.0,0.0,25.0,2.5945400000000003
0.0328117,0.05,4.0,0.0,25.0,2.60533
0.0605331,0.05,4.0,0.0,25.0,2.61548
0.10291900000000001,0.05,4.0,0.0,25.0,2.62431
0.22355500000000003,0.05,4.0,0.0,25.0,2.63726
0.50583,0.05,4.0,0.0,25.0,2.65097
1.09874,0.05,4.0,0.0,25.0,2.6640599999999997
2.2002,0.05,4.0,0.0,25.0,2.87875
4.77605,0.05,4.0,0.0,25.0,2.49948
10.3776,0.05,4.0,0.0,25.0,2.7023099999999998
22.5417,0.05,4.0,0.0,25.0,2.7156599999999997
46.9899,0.05,4.0,0.0,25.0,2.53603
102.069,0.05,4.0,0.0,25.0,2.54855
0.01055,0.1,0.5,0.0,25.0,20.5612
0.021886199999999998,0.1,0.5,0.0,25.0,20.7452
0.0454034,0.1,0.5,0.0,25.0,20.930999999999997
0.10637200000000001,0.1,0.5,0.0,25.0,21.1497
0.239308,0.1,0.5,0.0,25.0,21.3602
0.49629799999999996,0.1,0.5,0.0,25.0,20.0882
1.07218,0.1,0.5,0.0,25.0,20.2781
2.22357,0.1,0.5,0.0,25.0,19.0705
4.608569999999999,0.1,0.5,0.0,25.0,15.582
10.3649,0.1,0.5,0.0,25.0,14.6686
21.4889,0.1,0.5,0.0,25.0,12.8584
48.2994,0.1,0.5,0.0,25.0,10.5167
72.4,0.1,0.5,0.0,25.0,9.18246
104.24700000000001,0.1,0.5,0.0,25.0,8.59723
0.010501100000000001,0.1,2.0,0.0,25.0,7.161560000000001
0.0151297,0.1,2.0,0.0,25.0,7.71754
0.026688299999999998,0.1,2.0,0.0,25.0,7.77123
0.047077499999999994,0.1,2.0,0.0,25.0,7.82529
0.101704,0.1,2.0,0.0,25.0,7.899260000000001
0.21964899999999998,0.1,2.0,0.0,25.0,7.432519999999999
0.47451899999999997,0.1,2.0,0.0,25.0,7.50277
1.0251299999999999,0.1,2.0,0.0,25.0,7.573689999999999
2.21533,0.1,2.0,0.0,25.0,8.20218
4.9823699999999995,0.1,2.0,0.0,25.0,7.721369999999999
9.5281,0.1,2.0,0.0,25.0,7.25436
22.3226,0.1,2.0,0.0,25.0,7.33018
48.18,0.1,2.0,0.0,25.0,5.992290000000001
99.9505,0.1,2.0,0.0,25.0,6.04593
0.0102032,0.2,0.5,0.0,25.0,96.5967
0.022034900000000003,0.2,0.5,0.0,25.0,90.1337
0.047601199999999996,0.2,0.5,0.0,25.0,90.1337
0.10708599999999999,0.2,0.5,0.0,25.0,90.1337
0.23126300000000002,0.2,0.5,0.0,25.0,84.1031
0.479741,0.2,0.5,0.0,25.0,84.1031
0.994892,0.2,0.5,0.0,25.0,78.476
2.1472700000000002,0.2,0.5,0.0,25.0,63.7546
4.82616,0.2,0.5,0.0,25.0,51.7947
10.4131,0.2,0.5,0.0,25.0,39.2631
22.4676,0.2,0.5,0.0,25.0,29.7635
46.551,0.2,0.5,0.0,25.0,22.5623
72.6651,0.2,0.5,0.0,25.0,19.6441
104.595,0.2,0.5,0.0,25.0,17.1034
0.010564,0.2,2.0,0.0,25.0,25.914
0.021043700000000002,0.2,2.0,0.0,25.0,25.914
0.0492994,0.2,2.0,0.0,25.0,25.914
0.106467,0.2,2.0,0.0,25.0,24.1801
0.22086,0.2,2.0,0.0,25.0,24.1801
0.477116,0.2,2.0,0.0,25.0,24.1801
0.9507200000000001,0.2,2.0,0.0,25.0,25.914
2.22658,0.2,2.0,0.0,25.0,24.1801
4.80854,0.2,2.0,0.0,25.0,22.5623
9.968960000000001,0.2,2.0,0.0,25.0,19.6441
20.6611,0.2,2.0,0.0,25.0,15.9591
42.8473,0.2,2.0,0.0,25.0,14.8913
66.8633,0.2,2.0,0.0,25.0,12.0978
96.2734,0.2,2.0,0.0,25.0,11.2884
0.00984521,0.3,0.5,0.0,25.0,292.527
0.0222185,0.3,0.5,0.0,25.0,313.502
0.0500963,0.3,0.5,0.0,25.0,272.954
0.10419,0.3,0.5,0.0,25.0,272.954
0.225692,0.3,0.5,0.0,25.0,272.954
0.469107,0.3,0.5,0.0,25.0,237.65099999999998
1.0152299999999999,0.3,0.5,0.0,25.0,193.07
2.10953,0.3,0.5,0.0,25.0,156.852
4.38203,0.3,0.5,0.0,25.0,118.902
10.280999999999999,0.3,0.5,0.0,25.0,84.1031
22.2362,0.3,0.5,0.0,25.0,59.4889
32.0385,0.3,0.5,0.0,25.0,48.3293
48.0934,0.3,0.5,0.0,25.0,42.0785
104.01799999999999,0.3,0.5,0.0,25.0,29.7635
0.0101946,0.3,2.0,0.0,25.0,78.476
0.021196200000000002,0.3,2.0,0.0,25.0,73.2254
0.049806,0.3,2.0,0.0,25.0,73.2254
0.099457,0.3,2.0,0.0,25.0,73.2254
0.215439,0.3,2.0,0.0,25.0,73.2254
0.466674,0.3,2.0,0.0,25.0,73.2254
1.0522200000000002,0.3,2.0,0.0,25.0,63.7546
2.1884,0.3,2.0,0.0,25.0,63.7546
4.73605,0.3,2.0,0.0,25.0,51.7947
10.2496,0.3,2.0,0.0,25.0,42.0785
21.2976,0.3,2.0,0.0,25.0,34.1849
46.0914,0.3,2.0,0.0,25.0,27.7721
69.146,0.3,2.0,0.0,25.0,21.0527
99.719,0.3,2.0,0.0,25.0,21.0527
0.00975595,0.3,0.1,0.05,25.0,38.7067
0.021256099999999997,0.3,0.1,0.05,25.0,41.526
0.0482342,0.3,0.1,0.05,25.0,41.526
0.100842,0.3,0.1,0.05,25.0,41.526
0.219575,0.3,0.1,0.05,25.0,38.7067
0.478257,0.3,0.1,0.05,25.0,38.7067
1.0852600000000001,0.3,0.1,0.05,25.0,38.7067
2.1778299999999997,0.3,0.1,0.05,25.0,38.7067
4.73909,0.3,0.1,0.05,25.0,31.3461
10.319,0.3,0.1,0.05,25.0,29.2179
22.4547,0.3,0.1,0.05,25.0,23.6617
46.9013,0.3,0.1,0.05,25.0,19.1621
70.6073,0.3,0.1,0.05,25.0,16.6485
102.02799999999999,0.3,0.1,0.05,25.0,14.4646
0.00972244,0.3,0.1,0.1,25.0,17.8611
0.021176499999999997,0.3,0.1,0.1,25.0,17.8611
0.0480536,0.3,0.1,0.1,25.0,17.8611
0.100464,0.3,0.1,0.1,25.0,17.8611
0.151337,0.3,0.1,0.1,25.0,17.8611
0.210037,0.3,0.1,0.1,25.0,17.8611
0.457481,0.3,0.1,0.1,25.0,17.8611
0.9967530000000001,0.3,0.1,0.1,25.0,19.1621
2.16967,0.3,0.1,0.1,25.0,16.6485
4.72577,0.3,0.1,0.1,25.0,16.6485
9.48339,0.3,0.1,0.1,25.0,16.6485
21.5129,0.3,0.1,0.1,25.0,15.5181
44.9342,0.3,0.1,0.1,25.0,12.5671
101.869,0.3,0.1,0.1,25.0,10.1773
0.0101101,0.3,0.1,0.15,25.0,11.7139
0.0152297,0.3,0.1,0.15,25.0,11.7139
0.0229489,0.3,0.1,0.15,25.0,12.5671
0.046052499999999996,0.3,0.1,0.15,25.0,12.5671
0.104469,0.3,0.1,0.15,25.0,11.7139
0.218479,0.3,0.1,0.15,25.0,12.5671
0.456624,0.3,0.1,0.15,25.0,11.7139
0.9945729999999999,0.3,0.1,0.15,25.0,11.7139
2.16628,0.3,0.1,0.15,25.0,11.7139
4.718380000000001,0.3,0.1,0.15,25.0,11.7139
9.86148,0.3,0.1,0.15,25.0,10.9186
22.3636,0.3,0.1,0.15,25.0,9.48635
44.864,0.3,0.1,0.15,25.0,8.84229
97.6877,0.3,0.1,0.15,25.0,8.24196
0.0101101,0.3,1.0,0.05,25.0,11.7139
